team,season,runs_scored,runs_allowed,wins,losses,ERA
TEX,2023,881,716,90,72,4.28
TOR,2018,709,832,73,89,4.85
TOR,2019,726,828,67,95,4.79
TOR,2020,302,312,32,28,4.6
TOR,2021,846,663,91,71,3.91
TOR,2022,775,679,92,70,3.87
TOR,2023,746,671,89,73,3.78
WAS,2018,771,682,82,80,4.04
WAS,2019,873,724,93,69,4.27
WAS,2020,293,301,26,34,5.09
WAS,2021,724,820,65,97,4.8
WAS,2022,603,855,55,107,5.0
WAS,2023,700,845,71,91,5.02
