Team,Season,wOBA,OPS,wRC+,FIP
LAD,2023,0.341,0.795,115,4.23
TEX,2023,0.34,0.79,118,4.31
TBR,2023,0.335,0.776,117,3.8
HOU,2023,0.332,0.768,111,4.31
PHI,2023,0.329,0.765,105,4.0
MIN,2023,0.327,0.753,107,3.89
CHC,2023,0.326,0.751,105,4.16
CIN,2023,0.325,0.746,98,4.79
TOR,2023,0.324,0.745,106,4.06
BOS,2023,0.324,0.748,101,4.37
SDP,2023,0.323,0.742,106,4.14
STL,2023,0.322,0.742,103,4.43
BAL,2023,0.32,0.742,104,3.98
LAA,2023,0.32,0.743,102,4.65
SEA,2023,0.319,0.734,109,3.88
ARI,2023,0.317,0.73,97,4.35
NYM,2023,0.315,0.723,100,4.47
MIA,2023,0.312,0.721,93,4.13
COL,2023,0.31,0.715,80,5.24
WSN,2023,0.309,0.709,92,5.15
MIL,2023,0.309,0.704,93,4.21
PIT,2023,0.308,0.707,90,4.4
NYY,2023,0.304,0.701,93,4.25
SFG,2023,0.304,0.695,92,3.92
KCR,2023,0.303,0.7,88,4.7
CLE,2023,0.302,0.695,91,4.21
DET,2023,0.3,0.686,89,4.13
OAK,2023,0.293,0.669,88,5.05
CHW,2023,0.292,0.675,83,4.71
