team,avg_exit_velocity,avg_launch_angle,avg_xwOBA,Season
ATH,88.16622393636158,14.268871408916166,0.3676266216335981,2023
ATL,89.92671841472142,12.333335154082995,0.4039324554862176,2023
AZ,88.93848995888018,11.745908535023784,0.3673320268011472,2023
BAL,89.11159444705302,12.320444561772028,0.37723345553516013,2023
BOS,88.8768184276113,12.219953832496536,0.3720792668540178,2023
CHC,88.31328597823526,12.232486811634361,0.3759698692186877,2023
CIN,88.3026178027265,14.264462776471046,0.37020720564221865,2023
CLE,88.13936732175056,12.64922402030054,0.3622132587868392,2023
COL,88.54159629077662,12.949287961583043,0.3800859408400148,2023
CWS,88.653154441954,12.250472020231994,0.37039339719038633,2023
DET,88.96868162752816,13.094059664074118,0.37620714702778124,2023
HOU,88.84240569154514,13.195687705690329,0.378573146268515,2023
KC,88.9039537026031,13.377583162113055,0.3825045843617715,2023
LAA,88.657418164355,13.889551820138642,0.3807297305645375,2023
LAD,88.66573216828732,14.458009550933365,0.3807559806306434,2023
MIA,88.51060526517381,10.80237045335938,0.37293649656738825,2023
MIL,88.19483821933397,12.03671072809222,0.36212005489689225,2023
MIN,88.78895703021442,14.13879471288373,0.3831415724767626,2023
NYM,89.11581230869554,13.296860716087737,0.37288755289179926,2023
NYY,88.91598357371666,12.790836054219211,0.37682826169965655,2023
PHI,88.58401673597521,12.511848703522505,0.3767669492089676,2023
PIT,88.723762036696,11.734232042761306,0.3751839540520907,2023
SD,88.36647993491206,12.341635352587147,0.3668645782285499,2023
SEA,88.87214883050726,13.749962137511215,0.38211815636645663,2023
SF,88.59761773256957,10.799670278996963,0.3707528712689827,2023
STL,89.22702083763653,11.562463849704411,0.38170353033633464,2023
TB,88.74193189831165,11.968864704269608,0.3718887035868286,2023
TEX,89.19289983722841,13.78453701400717,0.37963075045148154,2023
TOR,88.449352368443,13.156495079643065,0.3748138505176781,2023
WSH,88.27894933073206,12.179569758734967,0.36994926057757205,2023
