model,accuracy,precision,recall,f1,auc
Logistic Regression,0.5834109972041006,0.5796791443850268,0.6062639821029083,0.5926735921268452,0.6149670377439302
1D-CNN,0.5839701770736253,0.5825991189427313,0.5917225950782998,0.5871254162042175,0.6126513833196726
Random Forest (Tuned),0.5748369058713886,0.5703262013328657,0.6062639821029083,0.5877462497740827,0.6041781837920589
SVM,0.580242311276794,0.5761331444759207,0.6066368381804623,0.5909916454776607,0.5997624866484728
XGBoost,0.5621621621621622,0.5612357484369254,0.5689783743475019,0.5650805406406221,0.5869150724741606
Decision Tree,0.5478098788443616,0.5432432432432432,0.5995525727069351,0.5700106345267636,0.5751323062350486
ANN,0.5429636533084808,0.5394646533973919,0.5861297539149888,0.5618298784846318,0.5574596508021478
